Filename, Channel Creation (bounded), Channel Creation (unbounded)
assets.rs,0,0
asset_server.rs,0,0
filesystem_watcher.rs,0,0
handle.rs,0,0
file_asset_io.rs,0,0
loader.rs,0,0
lib.rs,0,0
lib.rs,0,0
web_resize.rs,0,0
external_source_external_thread.rs,0,0
job.rs,0,0
walk.rs,0,0
app.rs,0,0
watcher.rs,0,0
db.rs,0,0
editor.rs,0,0
palette.rs,0,0
remote.rs,0,0
proxy.rs,0,0
event.rs,0,0
raw.rs,0,0
window_tab.rs,0,0
data.rs,0,0
db.rs,0,0
editor.rs,0,0
palette.rs,0,0
proxy.rs,0,0
dispatch.rs,0,0
lib.rs,0,0
dap.rs,0,0
lsp.rs,0,0
mod.rs,0,0
psp.rs,0,0
wasi.rs,0,0
watcher.rs,0,0
core.rs,0,0
proxy.rs,0,0
stdio.rs,0,0
mod.rs,0,0
mod.rs,0,0
walk.rs,0,0
proc_macro.rs,0,0
recursive.rs,0,0
lib.rs,0,0
prime_caches.rs,0,0
load_cargo.rs,0,0
to_proto.rs,0,0
global_state.rs,0,0
main_loop.rs,0,0
task_pool.rs,0,0
support.rs,0,0
pool.rs,0,0
lib.rs,0,0
lib.rs,0,0
socket.rs,0,0
stdio.rs,0,0
monitor.rs,0,0
mod.rs,0,0
threadsafe_functions.rs,0,0
test.rs,0,0
callback.rs,0,0
worker_host.rs,0,0
watch.rs,0,0
client.rs,0,0
run_external.rs,0,0
port.rs,0,0
main.rs,0,0
write.rs,0,0
marker.rs,0,0
tests.rs,0,0
iterator.rs,0,0
mod.rs,0,0
mutex.rs,0,0
mod.rs,0,0
lib.rs,0,0
tests.rs,0,0
types.rs,0,0
format.rs,0,0
docfs.rs,0,0
context.rs,0,0
let_unit.rs,0,0
channels.rs,0,0
spin_loops_nopreempt.rs,0,0
mpsc.rs,0,0
sendable-class.rs,0,0
threadleak_ignored.rs,0,0
block_call.rs,0,0
block_call.rs,0,0
unique-send-2.rs,0,0
unique-send.rs,0,0
builtin-superkinds-capabilities-transitive.rs,0,0
builtin-superkinds-capabilities-xc.rs,0,0
builtin-superkinds-capabilities.rs,0,0
builtin-superkinds-self-type.rs,0,0
closure-move-sync.rs,0,0
cci_capture_clause.rs,0,0
drop-trait-enum.rs,0,0
closure-bounds-can-capture-chan.rs,0,0
hashmap-memory.rs,0,0
channel.rs,0,0
issue-12041.rs,0,0
issue-25368.rs,0,0
issue-3609.rs,0,0
issue-71406.rs,0,0
core-run-destroy.rs,0,0
bind-by-move-no-guards.rs,0,0
builtin-superkinds-self-type.rs,0,0
not-sync.rs,0,0
ivec-tag.rs,0,0
comm.rs,0,0
issue-4446.rs,0,0
issue-4448.rs,0,0
issue-8827.rs,0,0
issue-9396.rs,0,0
mpsc_stress.rs,0,0
send-resource.rs,0,0
send-type-inference.rs,0,0
sendable-class.rs,0,0
spawn-types.rs,0,0
task-comm-0.rs,0,0
task-comm-10.rs,0,0
task-comm-11.rs,0,0
task-comm-13.rs,0,0
task-comm-14.rs,0,0
task-comm-15.rs,0,0
task-comm-16.rs,0,0
task-comm-3.rs,0,0
task-comm-4.rs,0,0
task-comm-5.rs,0,0
task-comm-6.rs,0,0
task-comm-7.rs,0,0
task-comm-9.rs,0,0
task-comm-chan-nil.rs,0,0
task-spawn-move-and-copy.rs,0,0
tcp-stress.rs,0,0
trivial-message.rs,0,0
unwind-resource.rs,0,0
in-arc.rs,0,0
io_loop.rs,0,0
privacy_win_mag.rs,0,0
video_service.rs,0,0
threads3.rs,0,0
main.rs,0,0
async_runtime.rs,0,0
system_tray.rs,0,0
web_dev_server.rs,0,0
tests.rs,0,0
tests.rs,0,0
tests.rs,0,0
runner.rs,0,0
