File Path,crossbeam_channel,std::sync::mpsc
20_rust\alacritty\alacritty\build.rs,False,False
20_rust\alacritty\alacritty\src\cli.rs,False,False
20_rust\alacritty\alacritty\src\clipboard.rs,False,False
20_rust\alacritty\alacritty\src\daemon.rs,False,False
20_rust\alacritty\alacritty\src\event.rs,False,False
20_rust\alacritty\alacritty\src\input.rs,False,False
20_rust\alacritty\alacritty\src\ipc.rs,False,False
20_rust\alacritty\alacritty\src\logging.rs,False,False
20_rust\alacritty\alacritty\src\main.rs,False,False
20_rust\alacritty\alacritty\src\message_bar.rs,False,False
20_rust\alacritty\alacritty\src\migrate.rs,False,False
20_rust\alacritty\alacritty\src\panic.rs,False,False
20_rust\alacritty\alacritty\src\scheduler.rs,False,False
20_rust\alacritty\alacritty\src\string.rs,False,False
20_rust\alacritty\alacritty\src\window_context.rs,False,False
20_rust\alacritty\alacritty\src\config\bell.rs,False,False
20_rust\alacritty\alacritty\src\config\bindings.rs,False,False
20_rust\alacritty\alacritty\src\config\color.rs,False,False
20_rust\alacritty\alacritty\src\config\debug.rs,False,False
20_rust\alacritty\alacritty\src\config\font.rs,False,False
20_rust\alacritty\alacritty\src\config\mod.rs,False,False
20_rust\alacritty\alacritty\src\config\monitor.rs,False,True
20_rust\alacritty\alacritty\src\config\mouse.rs,False,False
20_rust\alacritty\alacritty\src\config\serde_utils.rs,False,False
20_rust\alacritty\alacritty\src\config\ui_config.rs,False,False
20_rust\alacritty\alacritty\src\config\window.rs,False,False
20_rust\alacritty\alacritty\src\display\bell.rs,False,False
20_rust\alacritty\alacritty\src\display\color.rs,False,False
20_rust\alacritty\alacritty\src\display\content.rs,False,False
20_rust\alacritty\alacritty\src\display\cursor.rs,False,False
20_rust\alacritty\alacritty\src\display\damage.rs,False,False
20_rust\alacritty\alacritty\src\display\hint.rs,False,False
20_rust\alacritty\alacritty\src\display\meter.rs,False,False
20_rust\alacritty\alacritty\src\display\mod.rs,False,False
20_rust\alacritty\alacritty\src\display\window.rs,False,False
20_rust\alacritty\alacritty\src\macos\locale.rs,False,False
20_rust\alacritty\alacritty\src\macos\mod.rs,False,False
20_rust\alacritty\alacritty\src\macos\proc.rs,False,False
20_rust\alacritty\alacritty\src\renderer\mod.rs,False,False
20_rust\alacritty\alacritty\src\renderer\platform.rs,False,False
20_rust\alacritty\alacritty\src\renderer\rects.rs,False,False
20_rust\alacritty\alacritty\src\renderer\shader.rs,False,False
20_rust\alacritty\alacritty\src\renderer\text\atlas.rs,False,False
20_rust\alacritty\alacritty\src\renderer\text\builtin_font.rs,False,False
20_rust\alacritty\alacritty\src\renderer\text\gles2.rs,False,False
20_rust\alacritty\alacritty\src\renderer\text\glsl3.rs,False,False
20_rust\alacritty\alacritty\src\renderer\text\glyph_cache.rs,False,False
20_rust\alacritty\alacritty\src\renderer\text\mod.rs,False,False
20_rust\alacritty\alacritty_config\src\lib.rs,False,False
20_rust\alacritty\alacritty_config_derive\src\lib.rs,False,False
20_rust\alacritty\alacritty_config_derive\src\serde_replace.rs,False,False
20_rust\alacritty\alacritty_config_derive\src\config_deserialize\de_enum.rs,False,False
20_rust\alacritty\alacritty_config_derive\src\config_deserialize\de_struct.rs,False,False
20_rust\alacritty\alacritty_config_derive\src\config_deserialize\mod.rs,False,False
20_rust\alacritty\alacritty_config_derive\tests\config.rs,False,False
20_rust\alacritty\alacritty_terminal\src\ansi.rs,False,False
20_rust\alacritty\alacritty_terminal\src\event.rs,False,False
20_rust\alacritty\alacritty_terminal\src\event_loop.rs,False,False
20_rust\alacritty\alacritty_terminal\src\index.rs,False,False
20_rust\alacritty\alacritty_terminal\src\lib.rs,False,False
20_rust\alacritty\alacritty_terminal\src\selection.rs,False,False
20_rust\alacritty\alacritty_terminal\src\sync.rs,False,False
20_rust\alacritty\alacritty_terminal\src\thread.rs,False,False
20_rust\alacritty\alacritty_terminal\src\vi_mode.rs,False,False
20_rust\alacritty\alacritty_terminal\src\config\mod.rs,False,False
20_rust\alacritty\alacritty_terminal\src\config\scrolling.rs,False,False
20_rust\alacritty\alacritty_terminal\src\grid\mod.rs,False,False
20_rust\alacritty\alacritty_terminal\src\grid\resize.rs,False,False
20_rust\alacritty\alacritty_terminal\src\grid\row.rs,False,False
20_rust\alacritty\alacritty_terminal\src\grid\storage.rs,False,False
20_rust\alacritty\alacritty_terminal\src\grid\tests.rs,False,False
20_rust\alacritty\alacritty_terminal\src\term\cell.rs,False,False
20_rust\alacritty\alacritty_terminal\src\term\color.rs,False,False
20_rust\alacritty\alacritty_terminal\src\term\mod.rs,False,False
20_rust\alacritty\alacritty_terminal\src\term\search.rs,False,False
20_rust\alacritty\alacritty_terminal\src\tty\mod.rs,False,False
20_rust\alacritty\alacritty_terminal\src\tty\unix.rs,False,False
20_rust\alacritty\alacritty_terminal\src\tty\windows\child.rs,False,False
20_rust\alacritty\alacritty_terminal\src\tty\windows\conpty.rs,False,False
20_rust\alacritty\alacritty_terminal\src\tty\windows\mod.rs,False,True
20_rust\alacritty\alacritty_terminal\tests\ref.rs,False,False
20_rust\awesome-rust\src\main.rs,False,False
20_rust\awesome-rust\src\bin\cleanup.rs,False,False
20_rust\awesome-rust\src\bin\hacktoberfest.rs,False,False
20_rust\bat\build.rs,False,False
20_rust\bat\assets\theme_preview.rs,False,False
20_rust\bat\examples\advanced.rs,False,False
20_rust\bat\examples\cat.rs,False,False
20_rust\bat\examples\inputs.rs,False,False
20_rust\bat\examples\list_syntaxes_and_themes.rs,False,False
20_rust\bat\examples\simple.rs,False,False
20_rust\bat\examples\yaml.rs,False,False
20_rust\bat\src\assets.rs,False,False
20_rust\bat\src\config.rs,False,False
20_rust\bat\src\controller.rs,False,False
20_rust\bat\src\decorations.rs,False,False
20_rust\bat\src\diff.rs,False,False
20_rust\bat\src\error.rs,False,False
20_rust\bat\src\input.rs,False,False
20_rust\bat\src\less.rs,False,False
20_rust\bat\src\lib.rs,False,False
20_rust\bat\src\line_range.rs,False,False
20_rust\bat\src\macros.rs,False,False
20_rust\bat\src\nonprintable_notation.rs,False,False
20_rust\bat\src\output.rs,False,False
20_rust\bat\src\pager.rs,False,False
20_rust\bat\src\paging.rs,False,False
20_rust\bat\src\preprocessor.rs,False,False
20_rust\bat\src\pretty_printer.rs,False,False
20_rust\bat\src\printer.rs,False,False
20_rust\bat\src\style.rs,False,False
20_rust\bat\src\syntax_mapping.rs,False,False
20_rust\bat\src\terminal.rs,False,False
20_rust\bat\src\vscreen.rs,False,False
20_rust\bat\src\wrapping.rs,False,False
20_rust\bat\src\assets\assets_metadata.rs,False,False
20_rust\bat\src\assets\build_assets.rs,False,False
20_rust\bat\src\assets\lazy_theme_set.rs,False,False
20_rust\bat\src\assets\serialized_syntax_set.rs,False,False
20_rust\bat\src\assets\build_assets\acknowledgements.rs,False,False
20_rust\bat\src\bin\bat\app.rs,False,False
20_rust\bat\src\bin\bat\assets.rs,False,False
20_rust\bat\src\bin\bat\clap_app.rs,False,False
20_rust\bat\src\bin\bat\config.rs,False,False
20_rust\bat\src\bin\bat\directories.rs,False,False
20_rust\bat\src\bin\bat\input.rs,False,False
20_rust\bat\src\bin\bat\main.rs,False,False
20_rust\bat\src\syntax_mapping\ignored_suffixes.rs,False,False
20_rust\bat\tests\assets.rs,False,False
20_rust\bat\tests\integration_tests.rs,False,False
20_rust\bat\tests\no_duplicate_extensions.rs,False,False
20_rust\bat\tests\snapshot_tests.rs,False,False
20_rust\bat\tests\system_wide_config.rs,False,False
20_rust\bat\tests\test_pretty_printer.rs,False,False
20_rust\bat\tests\snapshots\sample.modified.rs,False,False
20_rust\bat\tests\snapshots\sample.rs,False,False
