File Path,crossbeam_channel,std::sync::mpsc
20_rust\alacritty\alacritty\src\config\monitor.rs,False,True
20_rust\alacritty\alacritty_terminal\src\tty\windows\mod.rs,False,True
20_rust\bevy\crates\bevy_asset\src\assets.rs,True,False
20_rust\bevy\crates\bevy_asset\src\asset_server.rs,True,False
20_rust\bevy\crates\bevy_asset\src\filesystem_watcher.rs,True,False
20_rust\bevy\crates\bevy_asset\src\handle.rs,True,False
20_rust\bevy\crates\bevy_asset\src\loader.rs,True,False
20_rust\bevy\crates\bevy_asset\src\io\file_asset_io.rs,True,False
20_rust\bevy\crates\bevy_core\src\lib.rs,True,False
20_rust\bevy\crates\bevy_time\src\lib.rs,True,False
20_rust\bevy\crates\bevy_winit\src\web_resize.rs,True,False
20_rust\bevy\examples\async_tasks\external_source_external_thread.rs,True,False
20_rust\deno\cli\napi\threadsafe_functions.rs,False,True
20_rust\deno\cli\tools\test.rs,False,True
20_rust\deno\ext\ffi\callback.rs,False,True
20_rust\deno\runtime\ops\worker_host.rs,False,True
20_rust\fd\src\walk.rs,True,False
20_rust\fd\src\exec\job.rs,True,False
20_rust\lapce\lapce-app\src\app.rs,True,False
20_rust\lapce\lapce-app\src\db.rs,True,False
20_rust\lapce\lapce-app\src\editor.rs,True,False
20_rust\lapce\lapce-app\src\palette.rs,True,False
20_rust\lapce\lapce-app\src\proxy.rs,True,False
20_rust\lapce\lapce-app\src\window_tab.rs,True,False
20_rust\lapce\lapce-app\src\config\watcher.rs,True,False
20_rust\lapce\lapce-app\src\proxy\remote.rs,True,False
20_rust\lapce\lapce-app\src\terminal\event.rs,True,False
20_rust\lapce\lapce-app\src\terminal\raw.rs,True,False
20_rust\lapce\lapce-data\src\data.rs,True,False
20_rust\lapce\lapce-data\src\db.rs,True,False
20_rust\lapce\lapce-data\src\editor.rs,True,False
20_rust\lapce\lapce-data\src\palette.rs,True,False
20_rust\lapce\lapce-data\src\proxy.rs,True,False
20_rust\lapce\lapce-proxy\src\dispatch.rs,True,False
20_rust\lapce\lapce-proxy\src\lib.rs,True,False
20_rust\lapce\lapce-proxy\src\watcher.rs,True,False
20_rust\lapce\lapce-proxy\src\plugin\dap.rs,True,False
20_rust\lapce\lapce-proxy\src\plugin\lsp.rs,True,False
20_rust\lapce\lapce-proxy\src\plugin\mod.rs,True,False
20_rust\lapce\lapce-proxy\src\plugin\psp.rs,True,False
20_rust\lapce\lapce-proxy\src\plugin\wasi.rs,True,False
20_rust\lapce\lapce-rpc\src\core.rs,True,False
20_rust\lapce\lapce-rpc\src\proxy.rs,True,False
20_rust\lapce\lapce-rpc\src\stdio.rs,True,False
20_rust\meilisearch\milli\src\update\index_documents\mod.rs,True,False
20_rust\meilisearch\milli\src\update\index_documents\extract\mod.rs,True,False
20_rust\nushell\crates\nu-command\src\filesystem\watch.rs,False,True
20_rust\nushell\crates\nu-command\src\network\http\client.rs,False,True
20_rust\nushell\crates\nu-command\src\system\run_external.rs,False,True
20_rust\nushell\crates\nu-command\tests\commands\network\port.rs,False,True
